Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads
MPU Alkohol – Top10 Städte,Search,20,Maximize Conversions,Paused,No
MPU Drogen – Top10 Städte,Search,20,Maximize Conversions,Paused,No
MPU Punkte – Top10 Städte,Search,20,Maximize Conversions,Paused,No
MPU Straftaten – Top10 Städte,Search,20,Maximize Conversions,Paused,No
