Campaign,Campaign Type,Budget,Bid Strategy Type,Status
MPU Alkohol – Top10 Städte,Search,20,Maximize Conversions,Paused
MPU Drogen – Top10 Städte,Search,20,Maximize Conversions,Paused
MPU Punkte – Top10 Städte,Search,20,Maximize Conversions,Paused
MPU Straftaten – Top10 Städte,Search,20,Maximize Conversions,Paused
